"","price","GuestIncluded","extrapeople"
"462",150.17,1,15.96
"463",141.41,1,1.95
"464",193.29,1,13.55
"465",88.3,1,12.7
"466",205.58,1,23.7
"467",62.98,1,31.93
"468",162.51,1,15.93
"469",135.93,1,17.19
"470",91.04,1,16.18
"471",277.43,1,19.28
"472",58.69,1,13.13
"473",101.28,1,13.52
"474",186.01,1,8.91
"475",93.65,1,5.71
"476",53.82,1,13.04
"477",153.53,1,24.41
"478",77.53,1,19.06
"479",174.9,1,0.03
"480",64.49,1,16.33
"481",120.07,1,0.43
"482",104.27,1,18.75
"483",90.33,1,8.31
"484",171.95,2,20.85
"485",216.32,1,12.14
"486",199.71,1,13.83
"487",66.61,1,5.15
"488",34.38,1,20.53
"489",125.27,1,6.54
"490",174.73,2,25.54
"491",78.94,1,16.29
"492",82.56,1,4.13
"493",62.05,1,13.32
"494",140.88,0,7.74
"495",343.22,1,3.26
"496",164.28,2,27.37
"497",68.39,1,10.36
"498",98.5,1,3.6
"499",134.46,1,12.19
"500",91.19,1,8.93
"501",92.18,1,18.96
"502",61.25,1,11.93
"503",127.68,2,11.29
"504",60.33,1,12.5
"505",78.26,1,15.36
"506",212.17,1,17.71
"507",199.52,1,12.66
"508",69.36,1,15.64
"509",71.2,1,5.75
"510",244.48,1,4.59
"511",42.12,1,20.91
"512",96.88,1,7.52
"513",156.26,1,12.33
"514",85.12,1,12.57
"515",119.53,1,27.88
"516",101.08,1,23.61
"517",63.71,1,5.2
"518",161.1,2,23
"519",237.08,1,19.68
"520",111.21,1,10.39
"521",73.79,1,28.56
"522",120.77,1,8.98
"523",49.33,1,9.96
"524",48.39,1,7.62
"525",187,1,6
"526",153.58,2,20.63
"527",383.97,1,25.84
"528",174.17,1,17.06
"529",72.93,1,7.33
"530",369.58,1,22.64
"531",92.05,1,8.02
"532",77.8,1,14.66
"533",99.96,1,14.27
"534",190.22,3,19.33
"535",202.37,1,16.78
"536",73.96,1,6.82
"537",60.38,1,7.06
"538",96.87,1,4.6
"539",83.62,1,17.23
"540",117.48,1,3.57
"541",270.01,1,22.74
"542",147.36,1,12.47
"543",60.03,1,18.99
"544",143.84,1,18.57
"545",77.31,1,8.76
"546",78.12,1,15.2
"547",147.18,2,22.06
"548",99.4,2,24.52
"549",84.08,1,7.82
"550",288.7,1,8.13
"551",180.06,1,0.93
"552",83.2,1,14.73
"553",148.38,1,18.81
"554",182.73,1,5.96
"555",208.44,1,5.08
"556",149.45,1,18.53
"557",216.06,1,21.99
"558",70.96,2,17.2
"559",119.95,1,7.75
"560",88.55,1,17.29
"561",208.61,2,21.07
"562",164.58,1,5.12
"563",176.63,1,11.45
"564",49.47,1,6.49
"565",58.53,1,8.95
"566",210.27,1,27.52
"567",407.37,1,5.15
"568",51.17,1,4.4
"569",225.12,4,36.89
"570",73.55,1,17.83
"571",52.66,1,6.52
"572",219.79,1,7.77
"573",96.26,2,19.74
"574",68.86,1,12.65
"575",85.05,1,17.42
"576",181.81,1,8.36
"577",151,4,12.38
"578",76.72,1,6.25
"579",217.17,2,17.73
"580",87.77,1,3.94
"581",59.42,1,16.12
"582",218.19,1,16.48
"583",80.42,1,1.14
"584",180.28,2,21.29
"585",71.03,1,15.64
"586",152.53,1,8.39
"587",162.06,1,12.66
"588",57.68,1,8.44
"589",200.93,1,12.9
"590",94.08,1,10.44
"591",59.72,2,14.16
"592",67.25,1,8.02
"593",73.42,1,32.61
"594",300.75,1,20.85
"595",259.51,1,34.76
"596",146.58,2,11
"597",211.24,1,8.48
"598",451.4,1,13.68
"599",415.91,1,3.64
"600",88.4,1,1.86
"601",147.37,1,7.32
"602",81.1,1,23.39
"603",119.22,1,10.27
"604",55.87,1,19.65
"605",90.42,1,23.21
"606",166.84,2,22.29
"607",130.35,1,10.33
"608",186.4,1,21.58
"609",56.14,1,12.45
"610",170.29,1,15.09
"611",210.38,1,16.77
"612",488.32,1,26.13
"613",81.95,1,6.82
"614",87.13,1,21.42
"615",130.16,1,23.09
"616",181.86,1,28.2
"617",93.13,1,12.02
"618",66.58,1,14.48
"619",87.35,1,9.33
"620",525.07,1,0.83
"621",52.81,1,10.44
"622",164.27,1,0.87
"623",230.13,1,2.86
"624",107.1,2,21.09
"625",158.43,1,13.72
"626",78.6,1,20.68
"627",57.72,1,12.91
"628",169.47,1,13.73
"629",302.2,1,4.34
"630",183.85,1,14.33
"631",122.24,1,11.63
"632",163.91,1,6.28
"633",96,1,19.93
"634",58.04,2,20.06
"635",96.57,1,19.02
"636",191.95,1,3.44
"637",119.56,1,3.63
"638",53.28,1,10.6
"639",109.8,1,14.3
"640",165.55,1,13.5
"641",546.41,1,34.76
"642",123.89,1,18.11
"643",144.79,1,11.45
"644",100.55,1,4.23
"645",271.87,1,10.61
"646",174.32,2,12.86
"647",148.44,1,12.99
"648",151.46,1,13.46
"649",111.17,1,19.8
"650",106.4,1,18.82
"651",69.51,1,6.26
"652",79.76,1,21.03
"653",189.89,1,22.44
"654",221.53,1,11.01
"655",118.11,2,18.45
"656",121.22,1,10.95
"657",150.57,1,5.95
"658",236.92,1,11.7
"659",275.84,1,14.15
"660",261.93,2,23.77
"661",76.42,1,4.46
"662",157.96,1,15.49
"663",237.81,1,28.28
"664",164.74,2,20.56
"665",63.64,1,15.14
"666",211.98,3,20.86
"667",69.62,1,11.26
"668",115.62,1,11.81
"669",68.58,1,5.21
"670",76.46,1,6.5
"671",399.37,1,29.55
"672",105.33,1,8.05
"673",65.57,1,2.55
"674",34.99,1,0.69
"675",120.15,2,20.83
"676",218.83,1,11.74
"677",107.56,1,7.93
"678",231.23,1,20.21
"679",64.87,1,-0.45
"680",169.76,2,27.24
"681",120.68,1,20.85
"682",80.81,1,12.04
"683",86.53,1,18.02
"684",202.51,1,11.49
"685",81.69,2,22.16
"686",66.09,1,3.66
"687",97.39,1,4.02
"688",252.81,1,14.53
"689",154.84,1,20.54
"690",85.65,1,1.82
"691",117.17,1,2.12
"692",106.57,2,17.3
"693",81.4,1,8.64
"694",119.95,1,2.05
"695",112.38,1,12.45
"696",141.65,1,15.37
"697",102.92,1,3.53
"698",162.15,1,21.37
"699",71.25,1,2.7
"700",113.1,2,18.47
"701",309.46,1,14.05
"702",264.22,5,20.55
"703",109.25,1,15.29
"704",194.74,1,21.67
"705",71.96,1,15.12
"706",119.3,1,29.68
"707",188.78,1,16.14
"708",157.91,2,19.37
"709",214.61,1,7.39
"710",57.26,1,18.62
"711",105.74,2,20.18
"712",154.97,1,12.58
"713",160.85,2,23.78
"714",186.44,1,18.32
"715",138.41,1,8.19
"716",41.99,1,12.68
"717",613.09,1,2.71
"718",239.24,4,20.57
"719",155.87,1,7.78
"720",164.34,1,12.09
"721",193.99,1,9.36
"722",81.19,1,17.36
"723",109.95,1,9.12
"724",107.91,1,21.07
"725",64.41,1,12.47
"726",307.51,1,10.18
"727",99.38,1,13.51
"728",84.1,1,15.04
"729",216.6,1,13.99
"730",202.13,1,16.25
"731",200.87,1,6.94
"732",97.03,1,25.07
"733",64.21,1,9.93
"734",54.86,1,9.67
"735",104.01,1,0.53
"736",71.56,1,6.85
"737",68.17,1,16.51
"738",85.21,1,7.21
"739",166.16,2,13.08
"740",91.5,1,19.42
"741",250.96,1,6.39
"742",157.72,4,20.28
"743",103.76,1,7.1
"744",90.99,1,6.61
"745",81.24,1,7.41
"746",65.82,1,14.63
"747",133.47,1,10.61
"748",121.53,1,12.79
"749",103.23,1,11.21
"750",75.71,1,16.32
"751",188.96,1,2.1
"752",207.42,4,26.98
"753",88.53,1,13.2
"754",163.9,1,6.66
"755",226.08,1,4.34
"756",178.16,1,10.58
"757",71.17,1,18.12
"758",158.59,2,20.94
"759",440.47,4,35.68
"760",89.8,1,7.8
"761",67.54,1,12.59
"762",100.94,1,6.01
"763",341.95,1,17.25
"764",72.74,1,4.03
"765",111.22,1,20.31
"766",124.86,2,17.91
"767",85.16,1,19.63
"768",404.35,1,4.68
"769",355.65,1,25.61
"770",236.71,4,30.16
"771",96.98,1,8.05
"772",67.49,1,5.26
"773",156.13,2,13.65
"774",57.09,1,6.15
"775",53.27,1,10.22
"776",499.18,1,36.13
"777",235.38,1,12.79
"778",154.85,1,10.17
"779",144.4,1,18.23
"780",134.87,1,16.74
"781",154.88,2,20.64
"782",67.18,1,12.68
"783",129.01,1,5.88
"784",233.56,1,10.16
"785",73.5,1,5.36
"786",171.67,1,18.64
"787",124.41,1,13.66
"788",53.46,1,14.37
"789",118.15,1,11.15
"790",228.58,2,11.55
"791",113.65,1,9.32
"792",133.17,1,15.49
"793",320.99,1,25.27
"794",208.22,5,27.73
"795",222.19,1,11.3
"796",256.18,2,21.23
"797",151.5,1,15.78
"798",58.28,1,11.2
"799",49.72,1,13.24
"800",256.2,1,2.58
"801",99.13,1,15.07
"802",130.91,1,35.48
"803",152.04,2,17.09
"804",126.07,1,9.22
"805",85.91,1,10.09
"806",282.5,2,14.29
"807",60.74,1,5.34
"808",249.51,1,10.27
"809",143.61,2,25.67
"810",120.8,1,10.39
"811",152.93,1,12.73
"812",70.87,1,23.75
"813",460.4,1,19.33
"814",185.4,1,8.72
"815",209.79,2,12.42
"816",85.87,1,6.92
"817",77.38,1,3.86
"818",54.65,1,20.06
"819",113.07,1,19.03
"820",299.05,1,24.85
"821",121.2,2,18.21
"822",201.28,2,13.07
"823",70.99,1,6.43
"824",111.93,1,9.93
"825",101.68,1,13.48
"826",102.14,1,7.66
"827",106.42,1,21.07
"828",58.59,1,17.28
"829",76.05,1,12.03
"830",111.62,1,13.33
"831",260.82,1,2.83
"832",115.12,1,17.24
"833",207.57,1,8.68
"834",112.15,1,10.44
"835",116.53,1,13.76
"836",64.4,1,11.09
"837",103.98,1,13.27
"838",142,2,27.35
"839",151.83,1,10.62
"840",249.8,1,5.18
"841",105.83,1,3.94
"842",124.06,1,21.01
"843",134.73,2,19.43
"844",56.64,1,7.89
"845",97.46,1,15
"846",184.08,1,11.36
"847",158.64,1,16.32
"848",64,1,32.17
"849",126.59,1,14.42
"850",189.3,1,6.76
"851",56.51,1,20.19
"852",170.89,1,9.76
"853",124.95,1,2.93
"854",76.82,1,2.46
"855",155.67,1,16.14
"856",124.18,1,11.09
"857",151.78,2,9.17
"858",92.83,1,5.98
"859",202.77,1,6.94
"860",65.54,2,11.75
"861",159.9,1,15.95
"862",67.3,1,9.43
"863",67.97,1,10.25
"864",91.94,1,13.7
"865",176.86,1,19.35
"866",100.06,1,7.59
"867",186.85,1,4.57
"868",308.25,1,29.11
"869",176.1,1,14.72
"870",43,1,2.62
"871",124.57,1,5.21
"872",97.91,2,23.18
"873",136.51,1,7.41
"874",74.01,1,17.33
"875",236.63,1,18.92
"876",120.2,2,17.55
"877",183.94,1,8.72
"878",147.16,1,3.62
"879",199.14,1,3.58
"880",182,1,20.87
"881",70.73,1,15.66
"882",175.09,3,21.43
"883",159.07,1,8.8
"884",79.3,1,12.2
"885",112.59,1,10.15
"886",125.72,1,11.31
"887",37.43,1,12.55
"888",63.84,1,3.53
"889",135.82,1,15.01
"890",146.5,1,10.76
"891",451.99,6,18.77
"892",76.05,1,19.14
"893",60.32,1,6.86
"894",68.35,1,11.98
"895",294.92,1,5.81
"896",62.38,1,3.66
"897",178.23,1,14.6
"898",82.07,1,19.02
"899",112.72,1,16.54
"900",289.17,1,17.49
"901",71.02,1,9.88
"902",94.94,1,10.58
"903",205,6,22.41
"904",320.28,4,18.52
"905",45.24,1,17.9
"906",322.71,1,13.15
"907",50.75,1,9.34
"908",118.48,2,20.64
"909",74.95,1,2.55
"910",150.02,1,32.09
"911",52.11,1,11.91
"912",90.04,1,16.48
"913",203.19,2,22.72
"914",65.93,1,9.26
"915",65.96,1,7.16
"916",81.47,1,4.11
"917",326.87,3,30.32
"918",184.46,1,23.21
"919",165.48,1,13.92
"920",57.92,1,18.23
"921",164.05,1,11.85
"922",123.31,2,6.59
"923",95.11,1,7.83
"924",68.09,1,12.77
"925",64.84,1,2.25
"926",182.97,1,12.05
"927",202.79,1,20.56
"928",77.84,1,13.57
"929",149.56,1,44.68
"930",123.6,2,19.81
"931",95.26,1,16.32
"932",210.5,1,20.77
"933",137.85,1,14.61
"934",161.39,1,5.39
"935",80.12,1,9.19
"936",143.94,1,16.88
"937",107.25,1,6.43
"938",141.3,4,13.27
"939",70.09,1,11.16
"940",181.93,1,21.13
"941",166.97,2,8.95
"942",83.43,1,22.76
"943",273.52,1,6.73
"944",170.91,1,18.32
"945",126.91,1,12.65
"946",188.89,1,12.58
"947",97.99,1,5.27
"948",246.73,1,18.07
"949",183.66,1,10.41
"950",146.82,1,13.57
"951",310.65,4,34.12
"952",273.41,1,12.58
"953",58.13,1,11.64
"954",70.35,1,5.05
"955",154.52,1,13.81
"956",236.6,1,5.76
"957",108.38,1,13.83
"958",171.52,1,10.63
"959",110.53,2,15.53
"960",50.69,1,8.79
"961",89.53,1,5.3
"962",160.99,1,3.96
"963",347.79,4,28.57
"964",180.09,1,6.86
"965",45.67,1,-0.14
"966",145.7,1,7.41
"967",283.15,4,93.26
"968",172.19,1,7.25
"969",166.22,1,25.02
"970",88.07,1,22.24
"971",117.01,1,14.96
"972",153.01,1,12.89
"973",116,1,14.86
"974",119.48,1,1.36
"975",62.14,1,8.12
"976",180.92,2,20.36
"977",90.65,1,18.88
"978",92.24,1,17.02
"979",105.91,1,9.51
"980",57.38,1,13.77
"981",226.64,1,2.17
"982",142.08,1,5.08
"983",109.99,1,15.11
"984",208.85,1,17.95
"985",132.86,1,9.07
"986",68.45,1,9.96
"987",280.58,1,26.86
"988",143.03,1,12.19
"989",140.21,1,15.33
"990",38.54,1,13.87
"991",387.53,1,11.35
"992",102.83,2,20.21
"993",369.76,4,30.58
"994",72.78,1,11.41
"995",131.16,1,7.88
"996",132.97,1,10.4
"997",439.48,1,3.74
"998",484.41,1,18.08
"999",83.45,1,5.43
"1000",113.84,1,7.81
"1001",254.89,1,2.13
"1002",133.52,2,15.29
"1003",133.94,2,20.75
"1004",63.87,1,16.37
"1005",68.88,1,17.38
"1006",186.93,1,19.76
"1007",234.39,1,11.37
"1008",637.14,1,14.58
"1009",124.71,1,11.79
"1010",228.07,1,18.19
"1011",166.14,1,5.29
"1012",251.7,1,11.52
"1013",126.71,1,9.32
"1014",143.98,1,14.58
"1015",56,1,10.34
"1016",255.45,1,13.47
"1017",140.51,1,15.26
"1018",36.31,1,8.71
"1019",63.01,1,7.29
"1020",165.94,1,30.92
"1021",74.18,1,12.21
"1022",160.54,2,21.17
"1023",228.21,1,13.04
"1024",50.06,1,4.98
"1025",259.24,2,15.9
"1026",58.24,1,6.81
"1027",51.19,1,5.34
"1028",153.93,2,21.42
"1029",159.93,1,9.54
"1030",203.52,4,20.51
"1031",63.84,1,9
"1032",60.26,1,5.62
"1033",44.33,1,13.15
"1034",49.21,2,16.68
"1035",143.89,1,10.23
"1036",162.61,1,1.17
"1037",239.59,1,18.02
"1038",63.31,1,4.82
"1039",247.7,1,14.91
"1040",173.19,1,3.59
"1041",313.16,4,24.08
"1042",59.32,1,8.68
"1043",104.48,1,12.07
"1044",323.02,1,10.93
"1045",397.28,1,22.88
"1046",75.14,1,17.89
"1047",59.52,1,10.28
"1048",99.41,1,16.6
"1049",119.48,2,16.34
"1050",54.3,1,8.11
"1051",214.2,2,23.93
"1052",95.11,1,9.68
"1053",77.49,1,21.63
"1054",98.73,1,5.55
"1055",90.18,1,27.45
"1056",104.52,1,11.43
"1057",150.68,2,11.63
"1058",55.58,1,9.37
"1059",131.9,1,7.32
"1060",166.32,1,16.98
"1061",114.86,1,10.13
"1062",242.69,4,18.54
"1063",98.28,1,10.35
"1064",68.34,1,16.16
"1065",133.67,1,28.07
"1066",216.72,1,19.19
"1067",60.24,1,14.06
"1068",101.04,1,14.27
"1069",241.13,1,11.09
"1070",473.95,1,6.08
"1071",133.66,1,8.78
